rank,player_name,age,gender,club,league,nationality,position,preffered_foot,height_(in cm),weight_(in kg),alt_position,ovr,pac,pac+-,sho,sho+-,pas,pas+-,dri,dri+-,def,def+-,phy,phy+-,image_url
1,Kylian Mbappé,25,M,Real Madrid,LALIGA EA SPORTS,France,ST,Right,182,75,['LW'],91,97,0,90,0,80,0,92,0,36,0,78,0,https://ratings-images-prod.pulse.ea.com/FC25/full/player-portraits/p231747.png?padding=0.7
2,Rodri,28,M,Manchester City,Premier League,Spain,CDM,Right,191,82,['CM'],91,66,8,80,7,86,6,84,4,87,2,85,1,https://ratings-images-prod.pulse.ea.com/FC25/full/player-portraits/p231866.png?padding=0.7
3,Aitana Bonmatí,26,F,FC Barcelona,Liga F,Spain,CM,Right,162,53,['CAM'],91,81,0,86,2,86,3,91,0,77,2,75,2,https://ratings-images-prod.pulse.ea.com/FC25/full/player-portraits/p241667.png?padding=0.7
4,Erling Haaland,24,M,Manchester City,Premier League,Norway,ST,Left,195,94,,91,88,-1,92,-1,70,4,81,1,45,0,88,0,https://ratings-images-prod.pulse.ea.com/FC25/full/player-portraits/p239085.png?padding=0.7
5,Jude Bellingham,21,M,Real Madrid,LALIGA EA SPORTS,England,CAM,Right,186,75,['CM'],90,80,4,87,12,83,4,88,3,78,0,83,1,https://ratings-images-prod.pulse.ea.com/FC25/full/player-portraits/p252371.png?padding=0.7
6,Alexia Putellas,30,F,FC Barcelona,Liga F,Spain,CM,Left,173,69,['CAM'],90,82,0,89,-1,90,-1,91,-1,72,0,78,0,https://ratings-images-prod.pulse.ea.com/FC25/full/player-portraits/p227203.png?padding=0.7
7,Vini Jr.,24,M,Real Madrid,LALIGA EA SPORTS,Brazil,LW,Right,176,73,"['ST', 'LM']",90,95,0,84,2,81,3,91,1,29,0,69,1,https://ratings-images-prod.pulse.ea.com/FC25/full/player-portraits/p238794.png?padding=0.7
8,Caroline Graham Hansen,29,F,FC Barcelona,Liga F,Norway,RW,Right,175,59,['RM'],90,89,0,87,1,88,0,90,0,47,0,76,1,https://ratings-images-prod.pulse.ea.com/FC25/full/player-portraits/p227102.png?padding=0.7
9,Kevin De Bruyne,33,M,Manchester City,Premier League,Belgium,CM,Right,181,75,['CAM'],90,67,-5,87,-1,94,0,87,0,65,0,78,0,https://ratings-images-prod.pulse.ea.com/FC25/full/player-portraits/p192985.png?padding=0.7
10,Sam Kerr,31,F,Chelsea,Barclays WSL,Australia,ST,Right,168,66,,90,85,0,88,0,74,0,90,0,42,0,83,-2,https://ratings-images-prod.pulse.ea.com/FC25/full/player-portraits/p227125.png?padding=0.7
